date,away,home,away_edition,home_edition
10/22/2025,CLE,NYK,Icon,Icon
10/24/2025,BOS,NYK,Icon,Icon
10/26/2025,NYK,MIA,Icon,Icon
10/28/2025,NYK,MIL,Icon,Icon
10/31/2025,NYK,CHI,Icon,Icon
11/2/2025,CHI,NYK,Icon,Icon
11/3/2025,WAS,NYK,Icon,Icon
11/5/2025,MIN,NYK,Icon,Icon
11/9/2025,BKN,NYK,Icon,Icon
11/11/2025,MEM,NYK,Icon,Icon
11/12/2025,ORL,NYK,Icon,Icon
11/14/2025,MIA,NYK,Icon,Icon
11/17/2025,NYK,MIA,Icon,Icon
11/19/2025,NYK,DAL,Icon,Icon
11/22/2025,NYK,ORL,Icon,Icon
11/24/2025,NYK,BKN,Icon,Icon
11/26/2025,NYK,CHA,Icon,Icon
11/28/2025,MIL,NYK,Icon,Icon
11/30/2025,TOR,NYK,Icon,Icon
12/2/2025,NYK,BOS,Icon,Icon
12/3/2025,CHA,NYK,Icon,Icon
12/5/2025,UTA,NYK,Icon,Icon
12/7/2025,ORL,NYK,Icon,Icon
12/9/2025,NYK,TOR,Icon,Icon
12/13/2025,NYK,ORL,Icon,Icon
12/18/2025,NYK,IND,Icon,Icon
12/19/2025,PHI,NYK,Icon,Icon
12/21/2025,MIA,NYK,Icon,Icon
12/23/2025,NYK,MIN,Icon,Icon
12/25/2025,CLE,NYK,Icon,Icon
12/27/2025,NYK,ATL,Icon,Icon
12/29/2025,NYK,NOP,Icon,Icon
12/31/2025,NYK,SAS,Icon,Icon
1/2/2026,ATL,NYK,Icon,Icon
1/3/2026,PHI,NYK,Icon,Icon
1/5/2026,NYK,DET,Icon,Icon
1/7/2026,LAC,NYK,Icon,Icon
1/9/2026,NYK,PHX,Icon,Icon
1/11/2026,NYK,POR,Icon,Icon
1/14/2026,NYK,SAC,Icon,Icon
1/15/2026,NYK,GSW,Icon,Icon
1/17/2026,PHX,NYK,Icon,Icon
1/19/2026,DAL,NYK,Icon,Icon
1/21/2026,BKN,NYK,Icon,Icon
1/24/2026,NYK,PHI,Icon,Icon
1/27/2026,SAC,NYK,Icon,Icon
1/28/2026,NYK,TOR,Icon,Icon
1/30/2026,POR,NYK,Icon,Icon
2/1/2026,LAL,NYK,Icon,Icon
2/3/2026,NYK,WAS,Icon,Icon
2/4/2026,DEN,NYK,Icon,Icon
2/6/2026,NYK,DET,Icon,Icon
2/8/2026,NYK,BOS,Icon,Icon
2/10/2026,IND,NYK,Icon,Icon
2/11/2026,NYK,PHI,Icon,Icon
2/19/2026,DET,NYK,Icon,Icon
2/21/2026,HOU,NYK,Icon,Icon
2/22/2026,NYK,CHI,Icon,Icon
2/24/2026,NYK,CLE,Icon,Icon
2/27/2026,NYK,MIL,Icon,Icon
3/1/2026,SAS,NYK,Icon,Icon
3/3/2026,NYK,TOR,Icon,Icon
3/4/2026,OKC,NYK,Icon,Icon
3/6/2026,NYK,DEN,Icon,Icon
3/8/2026,NYK,LAL,Icon,Icon
3/9/2026,NYK,LAC,Icon,Icon
3/11/2026,NYK,UTA,Icon,Icon
3/13/2026,NYK,IND,Icon,Icon
3/15/2026,GSW,NYK,Icon,Icon
3/17/2026,IND,NYK,Icon,Icon
3/20/2026,NYK,BKN,Icon,Icon
3/22/2026,WAS,NYK,Icon,Icon
3/24/2026,NOP,NYK,Icon,Icon
3/26/2026,NYK,CHA,Icon,Icon
3/29/2026,NYK,OKC,Icon,Icon
3/31/2026,NYK,HOU,Icon,Icon
4/1/2026,NYK,MEM,Icon,Icon
4/3/2026,CHI,NYK,Icon,Icon
4/6/2026,NYK,ATL,Icon,Icon
4/9/2026,BOS,NYK,Icon,Icon
4/10/2026,TOR,NYK,Icon,Icon
4/12/2026,CHA,NYK,Icon,Icon
